Name,RunningOrder,CellReference
Albania,1,G2
Armenia,2,G3
Australia,3,G4
Austria,4,G5
Azerbaijan,5,G6
Belarus,6,G7
Belgium,7,G8
Bulgaria,8,G9
Croatia,9,G10
Cyprus,10,G11
Czech Republic,11,G12
Denmark,12,G13
Estonia,13,G14
Finland,14,G15
France,15,G16
Georgia,16,G17
Germany,17,G18
Greece,18,G19
Iceland,19,G20
Ireland,20,G21
Israel,21,G22
Italy,22,G23
Latvia,23,G24
Lithuania,24,G25
Malta,25,G26
Moldova,26,G27
The Netherlands,27,G28
North Macedonia,28,G29
Norway,29,G30
Poland,30,G31
Portugal,31,G32
Romania,32,G33
Russia,33,G34
San Marino,34,G35
Serbia,35,G36
Slovenia,36,G37
Spain,37,G38
Sweden,38,G39
Switzerland,39,G40
Ukraine,40,G41
United Kingdom,41,G42
