Name,RunningOrder,CellReference
Dancing Lasha Tumbai - Verka Serduchka (Ukraine) - 2007,1,2
Diva - Dana International (Israel) - 1998,2,3
Euphoria - Loreen (Sweden) - 2012,3,4
Fairytale - Alexander Rybak (Norway) - 2009,4,5
Fuego - Eleni Foureira (Cyprus) - 2018,5,6
Heroes - Måns Zelmerlöw (Sweden) - 2015,6,7
Love Shine A Light - Katrina & The Waves (UK) - 1997,7,8
Making Your Mind Up - Bucks Fizz (UK) - 1981,8,9
Nel Blu Dipinto Di Blu - Domenico Modugno -(Italy) - 1958,9,10
Ooh…Aah…Just A Little Bit - Gina G (UK) - 1996,10,11
Poupée de cire poupée de son - France Gall (Luxembourg) - 1965,11,12
Rhythm Inside - Loïc Nottet (Belgium) - 2015,12,13
Rise Like A Phoenix - Conchita Wurst (Austria) - 2014,13,14
Satellite - Lena (Germany) - 2010,14,15
Save Your Kisses for Me - Brotherhood of Man (UK) - 1976,15,16
Soldi - Mahmood (Italy) - 2019,16,17
Sound of Silence - Dami Im (Australia) - 2016,17,18
Toy - Netta (Israel) - 2018,18,19
Waterloo - Abba (Sweden) - 1974,19,20
